,0
0,Acidic
1,Agricole
2,Alcoholic
3,Allspice
4,Almond
5,Anise
6,Apple
7,Apricot
8,Armagnac
9,Astringent
10,Bacon
11,Baked apple
12,Baking spices
13,Balanced
14,Banana
15,Barrel
16,Berries
17,BicycleTube
18,Bite
19,Bitter
20,Bitter orange
21,Black pepper
22,Black tea
23,Blackberry
24,Bourbon
25,Brioche
26,Brown
27,Brown sugar
28,Burn
29,Burnt
30,Burnt sugar
31,Butterscotch
32,Buttery
33,Calvados
34,Candied
35,Cappuccino
36,Caramel
37,Caramelized
38,Cardamom
39,Cedar
40,Chamomile
41,Charred
42,Chemical
43,Cherry
44,Cherry wood
45,Chili
46,Chocolate
47,Cigar
48,Cinnamon
49,Citrus
50,Clove
51,Cocoa
52,Coconut
53,Coffee
54,Cognac
55,Complex
56,Concentrated
57,Confections
58,CookieDough
59,Copper
60,Cream
61,Cream toffee
62,Creamy
63,Creme brulee
64,Currants
65,Dark
66,Dark chocolate
67,Delicious
68,Demerara sugar
69,Diluted
70,Dirty
71,Dried apricot
72,Dried dates
73,Dried figs
74,Dried fruit
75,Dry
76,Earthy
77,Elegant
78,Espresso
79,Ester
80,Eucalyptus
81,Fermented
82,Figs
83,Floral
84,Flowery
85,Fresh
86,Fruit schnapps
87,Fruitcake
88,Fruits
89,Fruity
90,Fudge
91,FullBodied
92,Funky
93,Ginger
94,Gingerbread
95,Glue
96,Grapefruit
97,Grapes
98,Grass
99,Green
100,Green apple
101,Green fruits
102,Green pepper
103,Hay
104,Hazelnut
105,Heavy
106,Herbal
107,Honey
108,Honeycomb
109,Hot
110,Intense
111,Iodine
112,Leather
113,Lemon
114,Licorice
115,Light
116,Lime
117,Litschi
118,Malt
119,Mandarin
120,Mango
121,Maple
122,Marmalade
123,Marzipan
124,Meaty
125,Medicinal
126,Melon
127,Menthol
128,Metallic
129,Mild
130,Milk chocolate
131,Mineral
132,Minty
133,Mirabelle plum
134,Mocha
135,Molasses
136,Musty
137,Nail polish
138,Nougat
139,Nutmeg
140,Nutty
141,Oak
142,Oily
143,Olive
144,Orange
145,OrangePeal
146,Overripe
147,Papaya
148,Passion fruit
149,Pastries
150,Peaches
151,Pear
152,Peat
153,Pecan
154,Peppery
155,Pineapple
156,Platsic
157,Plum
158,Polish
159,Popcorn
160,Port
161,Praline
162,Prunes
163,Pungent
164,Raisin
165,Raspberry
166,Red fruits
167,Red pepper
168,Red wine
169,Roasted
170,Roasted almonds
171,Roasted nuts
172,Root
173,Rough
174,Round
175,Rubber
176,Salty
177,Sharp
178,Sharpness
179,Sherry
180,Silky
181,Smoky
182,Smooth
183,Soap
184,Soft
185,Solvents
186,Sour
187,Sour cherry
188,Spice
189,Spicy
190,Strawberry
191,Strong
192,Sugar
193,Sugarcane
194,Supple
195,Sweet
196,Synthetic
197,Syrupy
198,Tannins
199,Tar
200,Tea
201,Thick
202,Thin
203,Thyme
204,Toasted
205,Tobacco
206,Toffee
207,Treacle
208,Tropical fruit
209,Umami
210,Unknown
211,Vanilla
212,Varnish
213,Vegetal
214,Velvety
215,Walnut
216,Warm
217,Waxes
218,Whiskey
219,White chocolate
220,Wine
221,Woody
222,Yellow fruits
223,Young wood
