Taste,Count
Acidic,12
Agricole,139
Alcoholic,477
Allspice,80
Almond,67
Anise,168
Apple,98
Apricot,75
Armagnac,10
Astringent,59
Bacon,18
Baked apple,14
Baking spices,42
Balanced,166
Banana,451
Barrel,482
Berries,47
BicycleTube,18
Bite,13
Bitter,221
Bitter orange,36
Black pepper,133
Black tea,50
Blackberry,13
Bourbon,46
Brioche,6
Brown,21
Brown sugar,152
Burn,18
Burnt,61
Burnt sugar,178
Butterscotch,60
Buttery,58
Calvados,11
Candied,78
Cappuccino,26
Caramel,1028
Caramelized,172
Cardamom,21
Cedar,22
Chamomile,10
Charred,32
Chemical,12
Cherry,139
Cherry wood,12
Chili,13
Chocolate,397
Cigar,18
Cinnamon,238
Citrus,403
Clove,73
Cocoa,193
Coconut,297
Coffee,270
Cognac,49
Complex,233
Concentrated,37
Confections,21
CookieDough,11
Copper,8
Cream,12
Cream toffee,46
Creamy,140
Creme brulee,43
Currants,13
Dark,27
Dark chocolate,399
Delicious,66
Demerara sugar,49
Diluted,80
Dirty,41
Dried apricot,75
Dried dates,32
Dried figs,20
Dried fruit,689
Dry,378
Earthy,128
Elegant,42
Espresso,17
Ester,436
Eucalyptus,18
Fermented,67
Figs,17
Floral,252
Flowery,42
Fresh,217
Fruit schnapps,55
Fruitcake,19
Fruits,54
Fruity,778
Fudge,25
FullBodied,85
Funky,150
Ginger,83
Gingerbread,14
Glue,107
Grapefruit,38
Grapes,78
Grass,201
Green,26
Green apple,37
Green fruits,9
Green pepper,49
Hay,43
Hazelnut,38
Heavy,47
Herbal,242
Honey,394
Honeycomb,16
Hot,70
Intense,357
Iodine,52
Leather,374
Lemon,67
Licorice,344
Light,140
Lime,106
Litschi,20
Malt,29
Mandarin,14
Mango,151
Maple,38
Marmalade,20
Marzipan,69
Meaty,18
Medicinal,116
Melon,15
Menthol,82
Metallic,47
Mild,183
Milk chocolate,112
Mineral,69
Minty,183
Mirabelle plum,17
Mocha,68
Molasses,128
Musty,22
Nail polish,21
Nougat,44
Nutmeg,85
Nutty,246
Oak,568
Oily,142
Olive,93
Orange,146
OrangePeal,112
Overripe,134
Papaya,46
Passion fruit,36
Pastries,53
Peaches,71
Pear,95
Peat,47
Pecan,12
Peppery,535
Pineapple,423
Platsic,16
Plum,76
Polish,18
Popcorn,8
Port,41
Praline,11
Prunes,145
Pungent,23
Raisin,291
Raspberry,19
Red fruits,112
Red pepper,12
Red wine,26
Roasted,634
Roasted almonds,32
Roasted nuts,38
Root,9
Rough,22
Round,173
Rubber,163
Salty,165
Sharp,9
Sharpness,60
Sherry,97
Silky,21
Smoky,361
Smooth,21
Soap,20
Soft,79
Solvents,78
Sour,32
Sour cherry,37
Spice,723
Spicy,903
Strawberry,35
Strong,131
Sugar,117
Sugarcane,521
Supple,25
Sweet,1091
Synthetic,32
Syrupy,68
Tannins,69
Tar,162
Tea,65
Thick,25
Thin,102
Thyme,12
Toasted,128
Tobacco,272
Toffee,134
Treacle,14
Tropical fruit,739
Umami,9
Unknown,98
Vanilla,1908
Varnish,52
Vegetal,350
Velvety,35
Walnut,22
Warm,137
Waxes,10
Whiskey,74
White chocolate,9
Wine,39
Woody,2157
Yellow fruits,60
Young wood,156
